Original;Name_hire;Place
hyrt fra Bergen af Alhed Henrichsaattr;Alhed Henriksdatter;Bergen
hyrt af Anders Bastiansen;Anders Bastiansen;
Hyrt af Anders Berentzen fra Bergen;Anders Berentzen;Bergen
hyrt af hr. Anders Danielsen;Anders Danielsen;
hyrt af hr Anders Luckasen;Anders Lukasen;
hyrt af presten hr. Anders i Inggen;Anders_prest;
hyrt af presten udi Ingen;Anders_prest;
af forige amtmand Bielche forskrefven;Bielche_amtmann;
hyrt av Brochmand;Brochmand;
Hyrt av sorenskriver Bygvad ;Bygvad_Sorenskriver;
Hyrt av Christopfer Erhorn;Christopfer Erhorn;Bergen
Hyrt fra Bergen av Christoger Erhorn;Christopfer Erhorn;Bergen
hyrt af Christofer Erhorn;Christopfer Erhorn;
Hyrt av Daniel Volpmand fra Bergen;Daniel Volpmand;Bergen
Hyrt av Eiler Sers;Eiler Sers;
hyrt af Eillert Sers;Eiler Sers;
hyrt af Ellert sers;Eiler Sers;
Hyrt av Else Nielsdatter;Else Nielsdatter;
hyrt af en Findmarksbonde;Finnmarksbonde;
hyrt af en Finmarksbonde;Finnmarksbonde;
hyrt af en bonde i Findmarken;Finnmarksbonde;
hyrt af Giert Dodt;Giert Dotz;
hyrt af Giert Dodtz;Giert Dotz;
Hyrt av Hans Christensen fra Bergen;Hans Christensen;Bergen
hyrt av Hans Christensen;Hans Christensen;
Hyrt av Hans Jensen Ørbech;Hans Jensen Ørbech;
Hyrt fra Bergen af Helberg;Helberg;Bergen
hyrt fra bergen af Helberg;Helberg;Bergen
hyrt fra bergen af Helle Helberg;Helle Helberg;Bergen
Hyrt af Helle Holbech;Helle Holbech;
hyrt af Helie Holbech;Helle Holbech;
hyrt af Helle Helberg;Helle Helberg;
hyrt af Helle Holbech;Helle Holbech;
hyrt af Helle Holbeck;Helle Holbech;
hyrt af Hellie Holbech;Helle Holbech;
hyrt fra Bergen af Hele Holbek;Helle Holbech;Bergen
hyrt af Henrich Helberg;Henrich Helberg;
hyrt af Henrick Helberg;Henrich Helberg;
hyrt fra Nordland af Henrich Helberg;Henrich Helberg;Nordland
Hyrt av Henrich Jansen;Henrich Jansen;
hyrt fra Bergen af Henrich Jansen;Henrich Jansen;Bergen
Hyrt av Henrich Sers;Henrich Sers;
hyrt af Herman Kult;Herman Skult;
hyrt af Herman Skult;Herman Skult;
hyrt af Hermand Skult;Herman Skult;
Hyrt af Hermand Skult;Hermand Skult;
Med hiemlandsfr;Hjemlandsfarer;
Haver satt sig selfver der ned i landet;independent;
Kommen af sig self til landet;independent;
Kommen til landet af sig self;independent;
På egenhånd;independent;
Sat sig self der ned i landet;independent;
Sat sig self ned der i landet;independent;
Sat sig self ned i landet;independent;
Svensk dessertør;independent;Sverige
af sig self;independent;
af sig self kommen til landet;independent;
didkommen af sig self ned ned i landet;independent;
komen af sig self til landet;independent;
komen til landet af sig self;independent;
kommen af sig self;independent;
kommen af sig self der ned i landet;independent;
kommen af sig self til landet;independent;
kommen did til landet af sig self;independent;
kommen til Findmarken af sig self;independent;
kommen til landet af sig self;independent;
med sig self nedsatt her i landet;independent;
på egenhånd;independent;
sat sig self der ned i Landet;independent;
sat sig self der ned i landet;independent;
sat sig self der need i landet;independent;
sat sig selv ned i landet;independent;
satt sig self der ned i landet;independent;
satt sig selver ned i landet;independent;
sig der self ned i landet;independent;
sig self;independent;
sig self nedsatt her i landet;independent;
sig self, fra Bergen;independent;Bergen
Hyrt av Ifuer Christensen;Iver Christensen;
Hyrt av Iver Christensen;Iver Christensen;
hyrt af Jacob Andersen;Jacob Andersen;
hyrt av Jacov Andersen;Jacob Andersen;
hyrt fra Bergen af Jacob Andersen;Jacob Andersen;Bergen
Hyrt av Jens Brochmand;Jens Brochmand;
hyrt af hr. Jens Matzen;Jens Matzen;
Hyrt av Jens Ørbech;Jens Ørbech;
Jens Ørbech fra Bergen;Jens Ørbech;Bergen
hyrt til landet af Jens Ørbech;Jens Ørbech;
Hyrt av Jørgen Friss;Jørgen Friss;
Hyrt av en kjøpmann i Kiberg;Kjøpmann_Kiberg;
Hyrt av Lars Christensen;Lars Christensen;
Hyrt av Lars Mandrup;Lars Mandrup;
Hyrt av Lars Sørensen;Lars Sørensen;
hyrt af presten hr. Lars;Lars_prest;
Hyrt av Ludvig Midelstorf;Ludvig Midelstorf;
Hyrt af maren Helberg;Maren Helberg;
Hyrt fra Bergen af Marn Helberg;Maren Helberg;Bergen
hyrt af Marn Helberg;Maren Helberg;
hyrt af forige foget Mogens Lind;Mogens Lind;
hyrt af Mons Lind;Mons Lind;
Hyrt av Moses Sørensen;Moses Sørensen;
Hyrt av prosten Moses Sørensen;Moses Sørensen;
hyrt af Niels Qvist;Niels Qvist;
Hyrt af Nordlandsfarer;Nordlandsfarer;
Med Nordlandsfr;Nordlandsfarer;
Nordlandsfarer;Nordlandsfarer;
kommen did med Nordlandsfarer;Nordlandsfarer;
kommen til landet med Nordlansfarne;Nordlandsfarer;
kommen til landet med nordlandsfarer;Nordlandsfarer;
med Nordlandsfarene;Nordlandsfarer;
med Nordlandsfarer;Nordlandsfarer;
med Nordlandsfarere;Nordlandsfarer;
med Nordlandsfarerne;Nordlandsfarer;
med Nordlandsfr;Nordlandsfarer;
Hyrt av amtmann Orning;Orning_amtmann;
kommen med sine forældre;parents;
kommen til landet med sine forældre;parents;
kommet til landet med sine forældre;parents;
med sine foreldre;parents;
med sine forældre;parents;
hyrt af Peter Larsen;Peter Larsen;
hyrt af fornne bonde Peter Larsen;Peter Larsen;
Hyrt av Peter Luden;Peter Luden;
hyrt af Peter Luden;Peter Luden;
hyrt av Luden;Peter Luden;
hyrt av Peter Luden;Peter Luden;
Hyrt av Povel Qvist;Povel Qvist;
hyrt av Povel Qvist;Povel Qvist;
hyrt fra Nordland af presten hr. Hans;Prest_Hans;Nordland
Hyrt af Sander Nielsen;Sander Nielsen;
hyrt af Sander Nielsen;Sander Nielsen;
Hyrt fra Bergen av Søren Jensen;Søren Jensen;Bergen
hyrt af Sørn Paaske;Søren Paaske;
hyrt fra Bergen af Sørn Paaske;Søren Paaske;Bergen
Hyrt af presten hr. Sørn i Ingen;Søren_prest;
Hyrt av Tønis Jansen;Tønis Jansen;
hyrt av Tønus Jansen;Tønis Jansen;
Hyrt av Torop fra Bergen;Torop;Bergen
Ukjent;unknown;unknown
Fra Finnmark;;local
Hyrt fra Bergen;;Bergen
Hyrt fra Nordland;;Nordland
Skichet dit fra Bergen;;Bergen
fra Bergen;;Bergen
fra Nordland;;Nordland
hyrt af Bergen;;Bergen
hyrt fra Bergen;;Bergen
hyrt fra Helgeland;;Helgeland
hyrt fra Nordland;;Nordland
hyrt fra Salten;;Salten
hyrt fra Sunddfiord;;Sunnfjord
hyrt fra Sundfiord;;Sunnfjord
hyrt fra Trondhiem;;Trondheim
hyrt fra Trunhiem;;Trondheim