Original;Normalized
Aafoden;Ofoten_NO
Aalborg;Aalborg_DEN
Aarøe;Årøya_VF
Aarøen;Årøya_VF
Adevar;Ávjovárri_VF
Adevehr;Ávjovárri_VF
Alten;Alta_Tingsted_VF
Aretzby;Ohcejohka_ØF
Aritzby;Ohcejohka_ØF
Arretzby;Ohcejohka_ØF
Arritzby;Ohcejohka_ØF
Bergen;Bergen_VE
Bergenhus lehn;Vestlandet_VE
Bergenhuus;Vestlandet_VE
Bergenhuus len;Vestlandet_VE
Bergenshus;Vestlandet_VE
Bondøe;Gierbá_ØF
Christiania;Oslo_OS
Danmark;Danmark_DEN
Der i landet;SAME_AS_COUNTED
Echerøe;Ekkerøya_ØF
Eckeren;Ekkerøya_ØF
Eckerøe;Ekkerøya_ØF
Eckerøen;Ekkerøya_ØF
Eggersund;Egersund_RO
Ekkerøy;Ekkerøya_ØF
Eydvahr;Ávjovárri_VF
Findmarchen;Finnmark_HF
Findmarken;Finnmark_HF
Haab;Hop_ØF
Hammerfest;Hammerfest_VF
Haranger;Hardanger_VE
Hasvog;Hasvåg_VF
Helgeland;Helgeland_NO
Helsingborg;Helsingborg_SWE
Indeager;Anárjávri_KL
Indre Sogn;Indre_Sogn_VE
Inggen;Ingøy_VF
Jedern;Jæren_RO
Jemteland;Jemtland_SWE
Jemtland;Jemtland_SWE
Juxby;Dálvadas_ØF
Jølster;Jølster_VE
Kiberg;Kiberg_ØF
Kielvig;Kjelvik_VF
Kielvigen;Kjelvik_VF
Kiølefiord;Kjøllefjord_ØF
Kiøllefiord;Kjøllefjord_ØF
Klouben;Klubbu_VF
Kluben;Klubbu_VF
Knarvigen;Store_Knarrvika_VF
Komagfiorden;Gámavuonna_VF
Korsnes;Girenjárga_VF
Koudtke;Guovdageaidnu_VF
Koutke;Guovdageaidnu_VF
Koutken;Guovdageaidnu_VF
Kvalsund;Ráhkkerávju_VF
Køge;Køge_DEN
Laafoden;Lofoten_NO
Laalland;Lolland_DEN
Langenes;Isnestoften_VF
Langnes;Isnestoften_VF
Laxefiord;Lágesvuotna_ØF
Laxefiorden;Lágesvuotna_ØF
Laxefjorden;Lágesvuotna_ØF
Lister lehn;Lister_AG
Listerlehen;Lister_AG
Lybesby;Davvesiida_ØF
Lybesbye;Davvesiida_ØF
Mastrand;Marstrand_SWE
Munchegodset;Peäccam_RUS
Neder Tanen;Juovlavuotna_ØF
Nordfiord;Nordfjord_VE
Nordfjord;Nordfjord_VE
Nordhorlehen;Nordhordaland_VE
Nordland;Nordland_NO
Norhorlehen;Nordhordaland_VE
Oster;Osterøy_VE
Porsanger;Porsáŋgguvuotna_VF
Qvalsund;Ráhkkerávju_VF
Qvenanger;Návuona_TR
Qveneland;Østerbotten_FIN
Qvenland;Østerbotten_FIN
Qvenneland;Østerbotten_FIN
Qvindeheret;Kvinnherad_VE
Qvindeherret;Kvinnherad_VE
Refsfiord;Kokelv_VF
Refsfiorden;Kokelv_VF
Romsdalen;Romsdal_MØ
Ryflyche;Ryfylke_RO
Ryfylche;Ryfylke_RO
Ryfylke;Ryfylke_RO
Salten;Salten_NO
Seenigen;Senja_TR
Seeningen;Senja_TR
Senien;Senja_TR
Seningen;Senja_TR
Senjen;Senja_TR
Senyen;Senja_TR
Skottland;Skottland_SCO
Sneefiorden;Snefjord_VF
Snefiorden;Snefjord_VF
Sogn;Sogn_VE
Stavanger;Stavanger_RO
Stavanger ;Stavanger_RO
Stavanger len;Stavanger_Len_RO
Sundfior;Sunnfjord_VE
Sundfiord;Sunnfjord_VE
Sundhordelehen;Sunnhordaland_VE
Sundhordlehn;Sunnhordaland_VE
Sundhorlehen;Sunnhordaland_VE
Sundhorlehn;Sunnhordaland_VE
Sundhorlen;Sunnhordaland_VE
Sundmøer;Sunnmøre_MØ
Sundmør;Sunnmøre_MØ
Sunfiord;Sunnfjord_VE
Sunnfiord;Sunnfjord_VE
Sverig;Sverige_SWE
Sverige;Sverige_SWE
Søhrvehr;Sørvær_VF
Talvigen;Talvik_VF
Tanen;Juovlavuotna_ØF
Tannebaj;Juovlavuotna_ØF
Tannebay;Juovlavuotna_ØF
Tannen;Juovlavuotna_ØF
Torne Lapmark;Torne_Lappmark_SWE
Torne Lapmarken;Torne_Lappmark_SWE
Trundhiem;Trondheim_TL
Trunheim;Trondheim_TL
Trunhiem;Trondheim_TL
Vaardøe;Vardø_ØF
Vadsø;Vadsø_ØF
Vahranger;Várjavuonna_ØF
Varanger;Várjavuonna_ØF
Vardø;Vardø_ØF
Vardøe;Vardø_ØF
Vardøen;Vardø_ØF
Vatzøe;Vadsø_ØF
Vatzøen;Vadsø_ØF
Vehranger;Várjavuonna_ØF
Veranger;Várjavuonna_ØF
Veyenes;Sáltesávju_ØF
Veynes;Sáltesávju_ØF
Ytre Porsanger;Olggut_Porsáŋgguvuotna_ØF
der i landet;SAME_AS_COUNTED
fød der i landet;SAME_AS_COUNTED
i landet;SAME_AS_COUNTED
kluben;Klubbu_VF
sundfiord;Sunnfjord_VE
sundhorlehen;Sunnhordaland_VE
ukjent;Unknown
yetre Sogn;Ytre_Sogn_VE