Original;Normalization
Abraham Hopland;Abraham Hopland
Anders Bastiansen;Anders Bastiansen
Andre Bosittende;Ingen
Andre bosittende;Ingen
Araham Hopland;Abraham Hopland
David Jacobsen;David Jacobsen
Forlatt;Forlatt
Forlatt av Johan Seehusen;Forlatt
Forlatte / Rasmus Heningsen;Forlatt
Halvor Monsen, Sander Nielsens forige kiøbsvend;Halvor Monsen
Hans Dreyer;Hans Dreyer
Knud Baaresen;Knud Baaresen
Marn Helberg;Maren Helberg
Nils Olsen;Nils Olsen
Otte Bang;Otte Bang
Peter Larsen;Peter Larsen
Rasmus Heningsen Smit;Rasmus Heningsen Smit
Sander Nielsen;Sander Nilsen
Sander Nielsens kiøbsvend Halvor Mogensen;Halvor Monsen
Søfren Panch;Søfren Panch
Søfren Panck paa Henrich Blats vegne;Søfren Panch
Søren Paaske;Søren Paaske
Søren Pedersen;Søren Pedersen
Sørn Paaske;Søren Paaske
Sørn Panchi;Søfren Panch
Tollef Olsen;Tollef Olsen
Vilchen Vierdenhalben;Vilchen Vierdenhalben